Team,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
New York Yankees,"6,000","5,300","5,000","4,600","4,000","3,700","3,400","3,200","2,500","2,300"
Los Angeles Dodgers,"4,075","3,600","3,400","3,300","3,000","2,800","2,500","2,400","2,000","1,600"
Boston Red Sox,"3,900","3,500","3,300","3,200","2,800","2,700","2,300","2,100","1,500","1,300"
Chicago Cubs,"3,800","3,400","3,200","3,100","2,900","2,700","2,200","1,800","1,200","1,000"
San Francisco Giants,"3,500","3,200","3,100","3,000","2,900","2,700","2,300","2,000","1,000",786
New York Mets,"2,650","2,500","2,400","2,300","2,100","2,000","1,700","1,400",800,811
St. Louis Cardinals,"2,450","2,200","2,200","2,100","1,900","1,800","1,600","1,400",820,716
Philadelphia Phillies,"2,300","2,100","2,000","1,900","1,700","1,700","1,200","1,300",975,893
Los Angeles Angels,"2,200","2,000","2,000","1,900","1,800","1,800","1,300","1,300",775,718
Atlanta Braves,"2,100","1,900","1,800","1,700","1,600","1,500","1,200","1,200",730,629
Texas Rangers,"2,050","1,800","1,800","1,700","1,600","1,600","1,200","1,200",825,764
Washington Nationals,"2,000","1,900","1,900","1,800","1,700","1,600","1,300","1,300",700,631
Houston Astros,"1,980","1,900","1,900","1,800","1,700","1,500","1,100",800,530,626
Toronto Blue Jays,"1,780","1,700","1,600","1,500","1,400","1,300",900,870,610,568
Chicago White Sox,"1,760","1,700","1,700","1,600","1,500","1,400","1,100",975,695,692
Seattle Mariners,"1,700","1,600","1,600","1,600","1,500","1,400","1,200","1,100",710,644
San Diego Padres,"1,575","1,500","1,500","1,400","1,300","1,100",890,890,615,600
Detroit Tigers,"1,400","1,300","1,300","1,300","1,200","1,200","1,200","1,100",680,643
Minnesota Twins,"1,390","1,300","1,300","1,200","1,200","1,000",910,895,605,578
Colorado Rockies,"1,385","1,300","1,300","1,200","1,100","1,000",860,855,575,537
Arizona Diamondbacks,"1,380","1,300","1,300","1,300","1,200","1,200",925,840,585,584
Baltimore Orioles,"1,375","1,400","1,400","1,300","1,200","1,200","1,000","1,000",620,618
Pittsburgh Pirates,"1,320","1,300","1,300","1,300","1,300","1,300",975,900,572,479
Cleveland Guardians,"1,300","1,200","1,200","1,200","1,000",920,800,825,570,559
Milwaukee Brewers,"1,280","1,200","1,200","1,200","1,000",925,875,875,565,562
Cincinnati Reds,"1,190","1,100","1,100","1,100","1,000",915,905,885,600,546
Oakland Athletics,"1,180","1,100","1,100","1,100","1,000",880,725,725,495,468
Kansas City Royals,"1,110","1,100","1,000","1,000","1,000",950,865,700,490,457
Tampa Bay Rays,"1,100","1,100","1,100","1,000",900,825,650,625,485,451
Miami Marlins,990,990,980,"1,000","1,000",940,675,650,500,520
